LIBID,LIBNAME,C_LEGBAS,C_ADMIN,C_FSCS,GEOCODE,POPU_LSA,POPU_UND,CENTLIB,BRANLIB,LIBRARIA,OTHPAID,TOTSTAFF,LOCGVT,STGVT,FEDGVT,OTHINCM,TOTINCM,SALARIES,BENEFIT,STAFFEXP,PRMATEXP,ELMATEXP,OTHMATEX,TOTEXPCO,OTHOPEXP,TOTOPEXP,CAPITAL,BKVOL,EBOOK,AUDIO_PH,AUDIO_DL,VIDEO_PH,VIDEO_DL,HRS_OPEN,VISITS,REGBOR,TOTCIR,KIDCIRCL,ELMATCIR,PHYSCIR,LOANTO,LOANFM,TOTPRO,KIDPRO,YAPRO,TOTATTEN,KIDATTEN,YAATTEN,GPTERMS,PITUSR,WIFISESS,WEBVISIT
FSCS0001,HAWAII STATE PUBLIC LIBRARY SYSTEM,OT,MA,Y,OTH,1420593,1420593,1,50,179,385.5,564.5,0,36878556,1394598,1990012,40263166,25447179,258246,25705425,2059919,2882152,83723,5025794,8394974,39126193,2444633,2895611,104812,113000,31416,173762,0,93742,3435595,992190,5624901,2289922,878058,4746843,163,31,12601,8842,1659,293135,220152,35080,583,793281,542335,853189
AA,OTTUMWA PUBLIC LIBRARY,CI,SO,Y,CI2,28219,27943,1,0,5,5.5,10.5,611592,9533,0,275669,896794,428469,221349,649818,64033,19530,10310,93873,201421,945112,29565,56844,49444,2418,22519,4695,50,2762,82551,12567,120664,38950,14510,106154,630,774,523,416,35,9583,8577,106,14,18064,18260,29644
AB,AGENCY PUBLIC LIBRARY,CI,SO,Y,CI2,729,722,1,0,0.5,0,0.5,14390,919,0,459,15768,-9,-9,-9,1623,384,440,2447,-9,14431,0,6382,49444,215,22519,574,50,1430,1924,301,1302,400,274,1028,14,80,42,22,1,143,26,0,4,120,52,543
AC,CARNEGIE-EVANS PUBLIC LIBRARY,CI,SO,Y,CI2,7966,7888,1,0,2.38,0,2.38,112331,2759,0,18647,133737,75296,22580,97876,6647,1041,2552,10240,10667,118783,0,45696,49444,2630,22519,2060,50,1820,68478,3205,72733,7981,3181,69552,162,59,10,10,0,258,258,0,4,4805,7444,755
AD,ALLERTON PUBLIC LIBRARY,CI,SO,Y,CI2,501,496,1,0,0.54,0.05,0.59,21703,1011,0,1004,23718,-9,-9,-9,2922,244,659,3825,-9,25044,906,9088,0,127,0,754,0,974,3279,379,3785,1362,376,3409,209,205,56,32,6,691,447,51,5,801,606,-1
AF,BLOOMFIELD PUBLIC LIBRARY,CI,SO,Y,CI2,8753,8668,1,0,2.75,0.3,3.05,116083,1546,0,5363,122992,93080,31166,124246,5961,826,789,7576,32895,164717,5379,23220,49444,326,22519,1251,50,2756,18250,1140,26366,8916,1990,24376,104,316,78,50,1,1121,964,10,10,2325,625,1879
AG,DRAKE PUBLIC LIBRARY,CI,SO,Y,CI2,10681,10577,1,0,1,2.88,3.88,212085,3967,0,63940,279992,127202,41501,168703,20626,1375,6862,28863,76840,274406,0,44137,49444,1501,22519,2567,50,2228,67500,8956,76457,31394,4606,71851,118,111,536,380,52,4040,3000,208,10,5033,1443,1670
AH,CHARITON FREE PUBLIC LIBRARY,CI,SO,Y,CI2,8415,8333,1,0,2.38,1,3.38,109449,2703,0,32015,144167,82933,24019,106952,9573,1145,3637,14355,42489,163796,0,15968,49444,872,22519,4610,50,1809,37063,5717,46522,16377,4074,42448,42,60,136,136,0,2165,2165,0,17,7716,7864,3716
AI,KARL MILES LECOMPTE MEMORIAL LIBRARY,CI,SO,Y,CI2,3426,3393,1,0,0.78,0,0.78,23043,2064,0,5799,30906,-9,-9,-9,2788,626,50,3464,-9,25709,26318,13195,49444,437,22519,365,50,1456,4849,2102,9774,3325,1479,8295,5,18,51,47,2,436,329,7,4,1320,0,762
AJ,MATILDA J. GIBSON MEMORIAL LIBRARY,CI,SO,Y,CI2,12539,12417,1,0,4.13,0.33,4.46,215893,4420,0,8604,228917,130276,56500,186776,10119,1813,4909,16841,15095,218712,0,41665,49444,1485,22519,1834,50,2657,28684,12931,48032,12169,4704,43328,288,331,184,72,30,2833,1708,267,16,4527,4679,9499
AK,ELDON PUBLIC LIBRARY,CI,SO,Y,CI2,1345,1332,1,0,0.63,0.27,0.9,39608,1162,0,1634,42404,-9,-9,-9,3281,501,581,4363,-9,34486,66803,7063,49444,78,22519,1050,50,1557,3444,1374,3372,625,476,2896,101,131,36,15,0,273,106,0,4,832,860,749
AL,FAIRFIELD PUBLIC LIBRARY,CI,SO,Y,CI2,17294,17125,1,0,2,6.83,8.83,399796,8358,0,83333,491487,260507,102945,363452,41088,13076,8876,63040,143478,569970,8850,59938,49444,5805,22519,13266,50,2730,118851,9285,155148,42031,13582,141566,521,374,950,441,47,15929,11247,362,16,12367,32000,0
IA0013,GARDEN GROVE PUBLIC LIBRARY,CI,SO,N,CI2,211,209,1,0,0.23,0.02,0.25,9141,1011,0,1004,11156,-9,-9,-9,1231,103,277,1611,-9,10548,381,3828,31748,53,5788,317,10,974,1381,160,1594,574,158,1436,88,86,24,14,2,291,188,21,2,337,255,-1
AN,HEDRICK PUBLIC LIBRARY,CI,SO,Y,CI2,856,848,1,0,0.63,0,0.63,25046,938,0,2075,28059,-9,-9,-9,3866,471,3031,7368,-9,25711,0,7177,49444,100,22519,1116,50,1196,2523,1099,2971,463,123,2848,1,2,7,4,2,775,500,200,3,156,3321,431
AO,HUMESTON PUBLIC LIBRARY,CI,SO,Y,CI2,734,727,1,0,0.5,0,0.5,16126,1249,0,7829,25204,-9,-9,-9,2981,418,450,3849,-9,29799,0,10802,49444,225,22519,574,50,1040,3796,730,5730,1539,1133,4597,27,40,34,34,0,550,550,0,5,1534,613,555
AP,WILSON MEMORIAL LIBRARY,CI,SO,Y,CI2,1940,1921,1,0,0.95,0.5,1.45,57020,1825,0,4003,62848,-9,-9,-9,8198,517,606,9321,-9,93953,0,10915,49444,73,22519,867,50,1996,6201,488,7290,2026,992,6298,54,25,77,28,0,976,548,0,8,1104,339,592
AQ,LAMONI PUBLIC LIBRARY,CI,SO,Y,CI2,3769,3732,1,0,1.88,0.25,2.13,87157,2086,0,2676,91919,52350,24746,77096,8758,766,1374,10898,6749,94743,0,30095,49444,1850,22519,1545,50,1794,11462,892,29514,11575,3354,26160,155,181,197,116,5,1700,1099,22,9,2634,3309,1735
AR,LEON PUBLIC LIBRARY,CI,SO,Y,CI2,3422,3389,1,0,1.3,0.5,1.8,74521,1342,0,6042,81905,-9,-9,-9,9487,726,2295,12508,-9,78824,3081,7567,49444,651,22519,847,50,1768,8800,1675,12429,6780,1790,10639,42,228,221,137,5,3758,2686,16,8,2872,203,1598
